block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,32,5,90088,0.875,0.0,
main,A* Only,32,5,90089,0.9375,0.0,
main,A* Only,32,5,90090,1.0,1.0,108
main,A* Only,32,5,90091,0.875,0.0,
main,A* Only,32,5,90092,1.0,1.0,103
main,A* Only,32,5,90093,1.0,1.0,137
main,A* Only,32,5,90094,0.9375,0.0,
main,A* Only,32,5,90095,0.875,0.0,
main,A* Only,32,5,90096,0.9375,0.0,
main,A* Only,32,5,90097,1.0,1.0,82
main,A* Only,32,5,90098,0.90625,0.0,
main,A* Only,32,5,90099,0.875,0.0,
main,A* + Escape,4,5,90000,1.0,1.0,48
main,A* + Escape,4,5,90001,1.0,1.0,42
main,A* + Escape,4,5,90002,1.0,1.0,53
main,A* + Escape,4,5,90003,1.0,1.0,43
main,A* + Escape,4,5,90004,1.0,1.0,81
main,A* + Escape,4,5,90005,1.0,1.0,36
main,A* + Escape,4,5,90006,1.0,1.0,61
main,A* + Escape,4,5,90007,1.0,1.0,24
main,A* + Escape,4,5,90008,1.0,1.0,34
main,A* + Escape,4,5,90009,1.0,1.0,38
main,A* + Escape,4,5,90010,1.0,1.0,207
main,A* + Escape,4,5,90011,1.0,1.0,53
main,A* + Escape,4,5,90012,1.0,1.0,94
main,A* + Escape,4,5,90013,1.0,1.0,52
main,A* + Escape,4,5,90014,1.0,1.0,87
main,A* + Escape,4,5,90015,1.0,1.0,18
main,A* + Escape,4,5,90016,1.0,1.0,50
main,A* + Escape,4,5,90017,1.0,1.0,75
main,A* + Escape,4,5,90018,1.0,1.0,29
main,A* + Escape,4,5,90019,1.0,1.0,51
main,A* + Escape,4,5,90020,1.0,1.0,37
main,A* + Escape,4,5,90021,1.0,1.0,34
main,A* + Escape,4,5,90022,1.0,1.0,30
main,A* + Escape,4,5,90023,1.0,1.0,43
main,A* + Escape,4,5,90024,1.0,1.0,55
main,A* + Escape,4,5,90025,1.0,1.0,41
main,A* + Escape,4,5,90026,1.0,1.0,111
main,A* + Escape,4,5,90027,1.0,1.0,48
main,A* + Escape,4,5,90028,1.0,1.0,39
main,A* + Escape,4,5,90029,1.0,1.0,51
main,A* + Escape,4,5,90030,1.0,1.0,99
main,A* + Escape,4,5,90031,1.0,1.0,39
main,A* + Escape,4,5,90032,1.0,1.0,51
main,A* + Escape,4,5,90033,1.0,1.0,46
main,A* + Escape,4,5,90034,1.0,1.0,73
main,A* + Escape,4,5,90035,1.0,1.0,57
main,A* + Escape,4,5,90036,1.0,1.0,39
main,A* + Escape,4,5,90037,1.0,1.0,159
main,A* + Escape,4,5,90038,1.0,1.0,51
main,A* + Escape,4,5,90039,1.0,1.0,45
main,A* + Escape,4,5,90040,1.0,1.0,46
main,A* + Escape,4,5,90041,1.0,1.0,53
main,A* + Escape,4,5,90042,1.0,1.0,59
main,A* + Escape,4,5,90043,1.0,1.0,44
main,A* + Escape,4,5,90044,1.0,1.0,54
main,A* + Escape,4,5,90045,1.0,1.0,40
main,A* + Escape,4,5,90046,1.0,1.0,41
main,A* + Escape,4,5,90047,1.0,1.0,44
main,A* + Escape,4,5,90048,1.0,1.0,52
main,A* + Escape,4,5,90049,1.0,1.0,40
main,A* + Escape,4,5,90050,1.0,1.0,24
main,A* + Escape,4,5,90051,1.0,1.0,40
main,A* + Escape,4,5,90052,1.0,1.0,41
main,A* + Escape,4,5,90053,1.0,1.0,52
main,A* + Escape,4,5,90054,1.0,1.0,47
main,A* + Escape,4,5,90055,1.0,1.0,42
main,A* + Escape,4,5,90056,1.0,1.0,57
main,A* + Escape,4,5,90057,1.0,1.0,58
main,A* + Escape,4,5,90058,1.0,1.0,57
main,A* + Escape,4,5,90059,1.0,1.0,79
main,A* + Escape,4,5,90060,1.0,1.0,31
main,A* + Escape,4,5,90061,1.0,1.0,36
main,A* + Escape,4,5,90062,1.0,1.0,49
main,A* + Escape,4,5,90063,1.0,1.0,50
main,A* + Escape,4,5,90064,1.0,1.0,107
